snapshot_date,target_snapshot_date,component_column,component_name,number_of_stocks,rank_ic
2025-11-30,2025-12-31,long_momentum_component,12-1 Momentum,300,0.0818369093
2025-11-30,2025-12-31,low_risk_component,Low Risk,300,0.0276256403
2025-11-30,2025-12-31,short_reversal_component,Short Reversal,300,-0.0285949876
2025-11-30,2025-12-31,turnover_stability_component,Turnover Stability,300,0.1220844676
2025-11-30,2025-12-31,value_component,Value,300,-0.0077591973
2025-12-31,2026-01-31,long_momentum_component,12-1 Momentum,299,-0.0036338170
2025-12-31,2026-01-31,low_risk_component,Low Risk,299,0.0691251253
2025-12-31,2026-01-31,short_reversal_component,Short Reversal,299,-0.0051264900
2025-12-31,2026-01-31,turnover_stability_component,Turnover Stability,299,0.0186947753
2025-12-31,2026-01-31,value_component,Value,299,0.0168517170
2026-01-31,2026-02-28,long_momentum_component,12-1 Momentum,300,0.0528676985
2026-01-31,2026-02-28,low_risk_component,Low Risk,300,0.0387528750
2026-01-31,2026-02-28,short_reversal_component,Short Reversal,300,0.0835753823
2026-01-31,2026-02-28,turnover_stability_component,Turnover Stability,300,-0.0083827598
2026-01-31,2026-02-28,value_component,Value,300,0.0870787453
2026-02-28,2026-03-31,long_momentum_component,12-1 Momentum,300,0.0176048642
2026-02-28,2026-03-31,low_risk_component,Low Risk,300,0.1384386647
2026-02-28,2026-03-31,short_reversal_component,Short Reversal,300,0.0094234391
2026-02-28,2026-03-31,turnover_stability_component,Turnover Stability,300,0.0685358802
2026-02-28,2026-03-31,value_component,Value,300,0.0516732466
2026-03-31,2026-04-30,long_momentum_component,12-1 Momentum,300,0.0926197369
2026-03-31,2026-04-30,low_risk_component,Low Risk,300,-0.1495515059
2026-03-31,2026-04-30,short_reversal_component,Short Reversal,300,0.0864325543
2026-03-31,2026-04-30,turnover_stability_component,Turnover Stability,300,-0.0836094106
2026-03-31,2026-04-30,value_component,Value,300,-0.1430656532
2026-04-30,2026-05-31,long_momentum_component,12-1 Momentum,300,0.0451431683
2026-04-30,2026-05-31,low_risk_component,Low Risk,300,-0.0850702786
2026-04-30,2026-05-31,short_reversal_component,Short Reversal,300,0.0081578684
2026-04-30,2026-05-31,turnover_stability_component,Turnover Stability,300,0.0437284859
2026-04-30,2026-05-31,value_component,Value,300,-0.0162721808
2026-05-31,2026-06-30,long_momentum_component,12-1 Momentum,300,-0.0016773522
2026-05-31,2026-06-30,low_risk_component,Low Risk,300,-0.1281836465
2026-05-31,2026-06-30,short_reversal_component,Short Reversal,300,0.0902721141
2026-05-31,2026-06-30,turnover_stability_component,Turnover Stability,300,-0.1216155735
2026-05-31,2026-06-30,value_component,Value,300,-0.1016540184
2026-06-30,2026-07-31,long_momentum_component,12-1 Momentum,300,-0.3010415671
2026-06-30,2026-07-31,low_risk_component,Low Risk,300,0.3534385938
2026-06-30,2026-07-31,short_reversal_component,Short Reversal,300,0.2321825798
2026-06-30,2026-07-31,turnover_stability_component,Turnover Stability,300,0.3092469916
2026-06-30,2026-07-31,value_component,Value,300,0.3795011056
2026-07-31,2026-08-31,long_momentum_component,12-1 Momentum,300,0.2604115891
2026-07-31,2026-08-31,low_risk_component,Low Risk,300,-0.2775904485
2026-07-31,2026-08-31,short_reversal_component,Short Reversal,300,0.2434631766
2026-07-31,2026-08-31,turnover_stability_component,Turnover Stability,300,-0.0970810895
2026-07-31,2026-08-31,value_component,Value,300,-0.1266576436
2026-08-31,2026-09-08,long_momentum_component,12-1 Momentum,300,-0.0071791989
2026-08-31,2026-09-08,low_risk_component,Low Risk,300,0.1573283673
2026-08-31,2026-09-08,short_reversal_component,Short Reversal,300,-0.0260749883
2026-08-31,2026-09-08,turnover_stability_component,Turnover Stability,300,0.0357537703
2026-08-31,2026-09-08,value_component,Value,300,0.0934478088
